seed,domain,k,mse
11,in_domain,1,0.10934519652765039
11,in_domain,5,0.08833407873441533
11,extrapolation,1,0.8047081170722679
11,extrapolation,5,1.59938573304225
22,in_domain,1,0.09997243996343712
22,in_domain,5,0.07949931286940799
22,extrapolation,1,2.704819130121686
22,extrapolation,5,3.2719285632349786
33,in_domain,1,0.11258989743736296
33,in_domain,5,0.09010108290725284
33,extrapolation,1,3.1668255552283657
33,extrapolation,5,4.983371618902561
44,in_domain,1,0.10572451360172085
44,in_domain,5,0.0666341210455254
44,extrapolation,1,2.005568802543556
44,extrapolation,5,4.0592553399590035
55,in_domain,1,0.11371966006844951
55,in_domain,5,0.10070576851563674
55,extrapolation,1,4.763468340217986
55,extrapolation,5,4.591972509887153
